scheme_code,isin_growth,isin_div,scheme_name,nav,nav_date
119512,INF209K01UV1,INF209KA1LM3,Aditya Birla Sun Life Money Manager Fund - Direct - weekly IDCW,100.0522,2026-07-14
101976,INF209K01RV7,-,Aditya Birla Sun Life Money Manager Fund - Growth,394.6243,2026-07-14
119511,INF209K01UU3,-,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan,400.3453,2026-07-14
101974,-,INF209K01SY9,Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW,100.0506,2026-07-14
140236,INF843K01CI2,INF843K01CH4,Edelweiss Money Market Fund - Direct Plan - Annual - IDCW Option,33.4628,2026-07-14
140237,INF843K01CE1,-,Edelweiss Money Market Fund - Direct Plan - Growth Option,33.4704,2026-07-14
140235,INF843K01CF8,INF843K01CG6,Edelweiss Money Market Fund - Direct Plan - IDCW Option,31.2153,2026-07-14
140230,INF843K01377,-,Edelweiss Money Market Fund - Institutional Plan - Growth Option,25.8159,2026-07-14
140233,INF843K01922,INF843K01914,Edelweiss Money Market Fund - Regular Plan - Annual - IDCW Option,29.9196,2026-07-14
140229,INF843K01344,-,Edelweiss Money Market Fund - Regular Plan - Growth Option,30.1681,2026-07-14
140232,INF843K01351,INF843K01369,Edelweiss Money Market Fund - Regular Plan - IDCW Option,28.38,2026-07-14
145488,INF209KB1ZL4,-,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW,1002.1456,2026-07-14
145489,-,INF209KB1ZJ8,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW,1000.6188,2026-07-14
145482,-,INF209KB1ZE9,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option,1000.5743,2026-07-14
145487,-,INF209KB1ZI0,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,1000.02,2026-07-14
145483,-,INF209KB1ZD1,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,1000.02,2026-07-14
145485,INF209KB1ZG4,-,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,1002.0996,2026-07-14
145486,INF209KB1ZH2,-,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,1478.2792,2026-07-14
145481,INF209KB1ZC3,-,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,1465.3274,2026-07-14
147551,INF754K01KD5,INF754K01KC7,Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option,1414.3312,2026-07-14
147557,-,INF754K01JW7,Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option,1000.2357,2026-07-14
147550,INF754K01JZ0,INF754K01JY3,Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option,1366.8919,2026-07-14
147570,INF754K01JV9,-,Edelweiss Overnight Fund - Direct Plan - Growth,1413.8634,2026-07-14
147554,INF754K01KB9,INF754K01KA1,Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option,1060.3752,2026-07-14
147558,-,INF754K01JX5,Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option,1378.3153,2026-07-14
147556,INF754K01KM6,INF754K01KL8,Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option,1408.4877,2026-07-14
147552,-,INF754K01KF0,Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option,1008.3727,2026-07-14
147549,INF754K01KI4,INF754K01KH6,Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option,1095.1543,2026-07-14
147569,INF754K01KE3,-,Edelweiss Overnight Fund - Regular Plan - Growth,1408.4763,2026-07-14
147555,INF754K01KK0,INF754K01KJ2,Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option,1007.1104,2026-07-14
147553,-,INF754K01KG8,Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option,1016.5569,2026-07-14
149476,-,-,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years,1000.0,2026-07-14
149477,-,-,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years,1293.6084,2026-07-14
149479,-,-,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years,1000.0,2026-07-14
149478,-,-,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years,1293.6068,2026-07-14
119496,INF209KA1KQ6,INF209K01XL6,Aditya Birla Sun Life Short Term Fund - DIRECT - IDCW,11.0356,2026-07-14
119498,INF209K01XK8,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,54.8668,2026-07-14
101844,INF209K01942,-,Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,50.3867,2026-07-14
